15,11.1(B) अजाक्स थाने से मृतक के परिवार के सदस्य के आवेदन पर पोस्टमार्टम (पी.एम.) रिपोर्ट की प्रतिलिपि प्रदाय करना
66,10.4 (B) मालिक मकबूजा प्रकरण में भुगतान(पृथक लाट के विकल्प की दशा में विक्रय मूल्य की पूर्ण वसूली संबंधी प्रकरण)
74,(1.5) जहॉं वर्तमान अधोसंरचना में विस्तार की आवश्यकता न हो वहॉं मॉंगपत्र अनुसार राशि जमा करने तथा अनुपूरक अनुबंध किए जाने के उपरांत भार वृद्धि करना
139,(3.3) पानी पीने योग्य है या नही संबंधी जाँच कर रिपोर्ट देना
113,मार्कशीट वेरिफिकेशन
101,(12.6) मुख्यमंत्री बाल हृदय उपचार योजना के प्रकरण का स्वीकृत किया जाना ।
122,16.4 ग्रामीण स्व-सहायता समूहों की ग्रेडिंग करना ।
152,प्रीमियम भुगतान - जीवन बीमा निगम
67,(10.1) वन्य प्राणियों से जनहानि हेतु राहत राशि का भुगतान
119,16.2 ग्रामीण क्षेत्रों की अद्यतन गरीबी रेखा सूची की अभिप्रमाणित छायाप्रति प्रदाय किया जाना ।
13,11.2(A) स्टेशन हाऊस ऑफिसर द्वारा फरियादी को एफ. आई. आर की प्रति न देने पर वरिष्ठ स्तर से एफ. आई. आर की प्रति प्रदान किया जाना
64,RCMS-अन्य
30,(4.8-C) शोध क्षमता प्रमाण पत्र (25 लाख रु. से ऊपर)
88,(2.5) निर्माण कार्य के दौरान दुर्घटना की स्थिति में स्थायी अपंगता होने पर सहायता प्रदान करना
18,11.5 शस्त्र लायसेंस की डुप्लीकेट प्रति प्रदाय करना ।
38,(4.11-C) राजस्व पुस्तक परिपत्र 6-4 के अंतर्गत विभिन्न आपदाओं के प्रभावितों के आवेदन दिये जाने पर आर्थिक सहायता दी जाने संबंधी - 50 हज़ार रुपये से 2 लाख तक के प्रकरण
65,10.4 (A) मलिक मकबूजा प्रकरण में भुगतान(डिपो में काष्ठ प्राप्त होने के उपरांत भुगतान संबंधी प्रकरण)
12,11.1(A) मृतक के परिवार के सदस्य के आवेदन पर पोस्टमार्टम (पी.एम.) रिपोर्ट की प्रतिलिपि प्रदाय करना
43,(4.15-B) अविवादित बंटवारा करना (धारा 178-1 के अंतर्गत)
29,(4.8-B) शोध क्षमता प्रमाण पत्र (5 से 25 लाख रु. तक)
21,(4.1) राजस्व पुस्तक परिपत्र खण्ड - 6 क्रमांक 4 के अनुसार प्राकृतिक प्रकोप से शारीरिक अंगहानि अथवा मृत होने पर आर्थिक सहायता दी जाना
37,(4.11-B) राजस्व पुस्तक परिपत्र 6-4 के अंतर्गत विभिन्न आपदाओं के प्रभावितों के आवेदन दिये जाने पर आर्थिक सहायता दी जाने संबंधी - 30 हज़ार से 50 हज़ार रुपये तक
79,"1.1(D) निम्न दाब के व्यक्तिगत नवीन कनेक्शन (औद्योगिक हेतु) के लिए मॉंगपत्र प्रदान करना, जहॉं ऐसा कनेक्शन वर्तमान नेटवर्क से संभव है"
100,(12.5) आवेदक की आयु का चिकित्सीय सत्यापन के संबंध में।
71,"1.3(B) जहॉं वर्तमान अधोसंरचना में विस्तार की आवश्यकता न हो, वहॉं 10 कि.वा. तक के लिए राशि जमा करने के उपरांत अस्थायी कनेक्शन प्रदान करना"
50,RCMS-राजस्व न्यायालय प्रकरण हेतु आवेदन
137,(3.1) विभागीय हैंडपंप के जमीन के ऊपरी भाग की साधारण खराबी का सुधार
42,(4.15-A) अविवादित बंटवारा करना (धारा 178 के अंतर्गत)
68,(10.2) वन्य प्राणियों से जनघायल हेतु राहत राशि का भुगतान
102,(12.1) राज्य बीमारी सहायता निधि के अधीन रूपये 2 लाख तक के प्रकरण जिला स्तर से स्वीकृत किया जाना ।
96,12.1(अ) राज्य बीमारी सहायता निधि के अधीन रूपये 1 लाख के प्रकरण (जिला स्तरीय) का स्वीकृत किया जाना
28,(4.8-A) शोध क्षमता प्रमाण पत्र (5 लाख रु. तक)
39,(4.12) बंटवारा के आदेश के पश्च्यात नक्शों में बटांकन/तरमीम तथा तरमीम पश्च्यात अक्स नक्शा ए-4 साईज के कागज़ पर आवेदक को प्रदाय
81,बिजली बिल भुगतान
73,(1.4) जहॉं वर्तमान अधोसंरचना में विस्तार की अवश्यकता न हो वहॉं उपभोक्ता द्वारा संपूर्ण दस्तावेज प्रस्तुत करने के उपरांत भार वृद्धि प्रकरणों में मॉंग पत्र जारी करना
7,(6.4) राज्य निर्वाचन के अंतर्गत नगरीय निकाय व ग्रामीण निकाय मतदाता सूची की सत्य प्रतिलिपि का प्रदाय
78,"1.1(C) निम्न दाब के व्यक्तिगत नवीन कनेक्शन (कृषि एवं कृषि संबंधी अन्य उपयोग हेतु) के लिए मॉंगपत्र प्रदान करना, जहॉं ऐसा कनेक्शन वर्तमान नेटवर्क से संभव है"
36,(4.11-A) राजस्व पुस्तक परिपत्र 6-4 के अंतर्गत विभिन्न आपदाओं के प्रभावितों के आवेदन दिये जाने पर आर्थिक सहायता दी जाने संबंधी - 30 हज़ार रुपये तक
134,(7.6) मुख्यमंत्री कन्या अभिभावक पेंशन योजना
41,(4.14-B) अविवादित नामान्तरण के प्रकरणों के निराकरण हेतु आवेदन पत्र (खातेदार के निधन से उत्तराधिकारियों की दशा में)
76,(1.7) स्थायी विच्छेदन करने संबंधी आवेदन का निराकरण
138,(3.2) विभागीय हैंडपंप के जमीन के निचले भाग में हैंडपंप के लाइन एसेंबली व सिलेण्डर की गंभीर खराबी का सुधार
80,"1.3(A) जहॉं वर्तमान अधोसंरचना में विस्तार की आवश्यकता न हो, वहॉं 10 कि.वा. तक के लिए राशि जमा करने के उपरांत अस्थायी कनेक्शन का मांग पत्र प्रदान करना"
69,(10.3) वन्य प्राणियों से पशु-हानि राहत राशि का भुगतान
27,(4.6) वन्य प्राणियों से फसल हानि का भुगतान राजस्व एवं वन ग्रामों में
87,13.2(C) बीज विक्रय लायसेन्स का नवीनीकरण
85,13.2(A) रासायनिक उर्वरक विक्रय लायसेन्स का नवीनीकरण
82,13.1(A) रासायनिक उर्वरक विक्रय लायसेन्स जारी करना
127,(18.7) विवाह का पंजीयन
44,(4.9-B) जिला स्तरीय रिकॉर्ड रूम से राजस्व न्यायालय (राजस्व मंडल को छोड़कर) में प्रचलित प्रकरणों में पारित आदेश/अंतरिम आदेश या अन्य दस्तावेज की सत्यप्रतिलिपि पक्षकार को प्रदाय करना
75,(1.2) मांग पत्र अनुसार राशि जमा करने के बाद वर्तमान नेटवर्क से निम्न दाब नवीन कनेक्शन प्रदान करना
25,(4.7) नजूल अनापत्ति प्रमाण पत्र
77,"1.1(B) ग्रामीण क्षेत्र में निम्न दाब के घरेलू/गैर घरेलू व्यक्तिगत नवीन कनेक्शन के लिए मॉंगपत्र प्रदान करना, जहॉं ऐसा कनेक्शन वर्तमान नेटवर्क से संभव है"
10,(11.4) लायसेंस अवधि की समय सीमा के पश्चात अवर्जित बोर के शस्त्र लायसेंस का नवीनीकरण
84,13.1(C) बीज विक्रय लायसेन्स जारी करना
124,(18.2) मृत्यु का अप्राप्यता प्रमाण पत्र प्राप्त करने हेतु आवेदन
17,(11.4) (संशोधित)लायसेंस अवधि की समय सीमा के पश्चात अवर्जित बोर के शस्त्र लायसेंस का नवीनीकरण
83,13.1(B) रासायनिक कीटनाशक विक्रय लायसेन्स जारी करना
91,(2.3) मृत्यु की दशा में अनुग्रह सहायता योजना का लाभ प्रदान करना
40,(4.14-A) अविवादित नामान्तरण के प्रकरणों के निराकरण हेतु आवेदन पत्र (पंजीयत विलेख/अंतरण पत्र की दशा में)
86,13.2(B) रासायनिक कीटनाशक विक्रय लायसेन्स का नवीनीकरण
94,(2.7) दुकान संस्थान की स्थापना का पंजीयन का नवीनीकरण (अधिनियम - 1958 की धारा 1 की उपधारा (04) के अन्तर्गत)
93,(2.6) दुकान संस्थान की स्थापना का पंजीयन (अधिनियम - 1958 की धारा 1 की उपधारा (04) के अन्तर्गत)
143,(14.1-B) लाडली लक्ष्मी योजना के अंतर्गत स्वीकृति जारी करना (द्वितीय कन्या प्रकरण में)
72,(1.6) निम्न दाब उपभोक्ताओं के मीटर बंद होने या तेज चलने की शिकायत पर जॉंच कराना एवं मीटर खराब पाए जाने पर सुधारना/बदलना
133,(7.4) इंदिरा गांधी राष्ट्रीय निःशक्त पेंशन योजना प्रथम बार स्वीकृत एवं प्रदाय करना
45,(4.10-B) जिला स्तरीय रिकॉर्ड रूम से अभिलेख प्रकोष्ठ में जमा भू-अभिलेखों/राजस्व प्रकरणों/नक्शों एवं अन्य अभिलेखों की सत्य प्रतिलिपि प्रदाय करना
126,(18.4) मृत्यु के 1 वर्ष के पश्चात पंजीयन के लिए अनुमति
11,(11.3) लायसेंस अवधि समाप्त होने के पूर्व अवर्जित बोर के शस्त्र लायसेंस का नवीनीकरण
123,(18.1) जन्म का अप्राप्यता प्रमाण पत्र प्राप्त करने हेतु आवेदन
34,(4.9-A) तहसील स्तरीय रिकॉर्ड रूम से राजस्व न्यायालय (राजस्व मंडल को छोड़कर) में प्रचलित प्रकरणों में पारित आदेश/अंतरिम आदेश या अन्य दस्तावेज की सत्यप्रतिलिपि पक्षकार को प्रदाय करना
97,(12.2) विकलांगता प्रमाण-पत्र (चिकित्सीय) दिया जाना
16,(11.3) (संशोधित)लायसेंस अवधि समाप्त होने के पूर्व अवर्जित बोर के शस्त्र लायसेंस का नवीनीकरण
6,"(6.3-C) विमुक्त, घुमक्कड़ एवं अर्द्ध घुमक्कड़ जाति के लिए जाति प्रमाण-पत्र प्रदाय करना"
26,(4.5) भू अधिकार एवं ऋण पुस्तिका की द्वितीय प्रति (डुप्लीकेट कॉपी) का प्रदाय
70,"1.1(A) शहरी क्षेत्र में निम्न दाब के घरेलू/गैर घरेलू व्यक्तिगत नवीन कनेक्शन के लिए मॉंगपत्र प्रदान करना, जहॉं ऐसा कनेक्शन वर्तमान नेटवर्क से संभव है"
89,(2.2) विवाह सहायता योजना का लाभ प्रदान करना
95,(12.3) दीनदयाल अंत्योदय उपचार योजना कार्ड जारी करना
104,(5.1) जहॉं तकनीकि रूप में साध्य हो वहॉं नवीन नल कनेक्शन प्रदान किया जाना
144,(14.1-A) लाडली लक्ष्मी योजना के अंतर्गत स्वीकृति जारी करना (प्रथम कन्या प्रकरण में)
22,(4.4) भू अधिकार एवं ऋण पुस्तिका का प्रथम बार प्रदाय
35,(4.10-A) तहसील स्तरीय रिकॉर्ड रूम से अभिलेख प्रकोष्ठ में जमा भू-अभिलेखों/राजस्व प्रकरणों/नक्शों एवं अन्य अभिलेखों की सत्य प्रतिलिपि प्रदाय करना
131,(7.3) इंदिरा गांधी राष्ट्रीय विधवा पेंशन योजना प्रथम बार स्वीकृत एवं प्रदाय करना
132,(7.5) राष्ट्रीय परिवार सहायता योजना
129,(7.1) सामाजिक सुरक्षा पेंशन की प्रथम बार स्वीकृति एवं प्रदाय
125,(18.3) जन्म के 1 वर्ष के पश्चात पंजीयन के लिए अनुमति
90,(2.1) प्रसूति सहायता योजना का लाभ प्रदान करना
47,(4.2-B) बी-1 खतौनी की प्रतिलिपियों का प्रदाय (नवीन)
135,(9.1) नवीन बी.पी.एल. राशन कार्ड जारी करना
130,(7.2) इंदिरा गांधी राष्ट्रीय वृद्धावस्था पेंशन योजना प्रथम बार स्वीकृत एवं प्रदाय करना
136,(9.2) नवीन ए.पी.एल. राशन कार्ड जारी करना
92,(2.4) निर्माण श्रमिकों का पंजीयन
48,(4.3) चालू नक्शा की प्रतिलिपियों का प्रदाय (नवीन)
46,(4.2-A) चालू खसरा की प्रतिलिपियों का प्रदाय (नवीन)
32,चालू खसरा/बी-1 खतौनी/चालू नक्शा की प्रतिलिपियों का प्रदाय
105,(5.2) गरीबी रेखा के नीचे के परिवारों की सूची में नाम जोड़ना (नगरीय क्षेत्र)
8,6.1 क़ानूनी बाध्यता के कारण स्थानीय निवासी प्रमाण-पत्र जारी करना
24,(4.3) चालू नक्शा की प्रतिलिपियों का प्रदाय
31,(4.2-B) बी-1 खतौनी की प्रतिलिपियों का प्रदाय
9,6.2 क़ानूनी बाध्यता के कारण आय प्रमाण पत्र प्रदाय करना
49,चालू खसरा एवं बी-1 खतौनी की प्रतिलिपियों का एक साथ प्रदाय (नवीन)
118,(16.1) गरीबी रेखा के नीचे के परिवारों की सूची में नाम जोड़ना (ग्रामीण क्षेत्र)
23,(4.2-A) चालू खसरा की प्रतिलिपियों का प्रदाय
33,चालू खसरा एवं बी-1 खतौनी की प्रतिलिपियों का एक साथ प्रदाय
1,(6.1) स्थानीय निवासी प्रमाण-पत्र
2,(6.2) आय प्रमाण पत्र प्रदान करना
3,"(6.3-A) अनुसूचित जाति, अनुसूचित जनजाति के लिये जाति प्रमाण पत्र प्रदाय करना"
5,(6.3-B) अन्य पिछडे़ वर्ग के लिये जाति प्रमाण पत्र प्रदाय करना
